# Druck    Channel     Zählrate
 0      975     74427
 50    1007     74924
 100    911     75404
 150    943     71841
 200    911     72295
 250    911     71592
 300    903     71890
 350    903     72431
 400    888     72579
 450    871     72496
 500    880     74795
 550    839     57974
 600    807     63949
 650    800     60002
 700    783     58825
 750    727     46523
 800    727     38964
 850    723     25106
 900      0         0
